rt,response,subj_idx,attention,coherency,prioritization,stimulus,run,_response,id,cpp_peak,cpp_slope,cpp_amplitude,index
0.324309468512183,1.0,016,left,high,yes,car,2,1.0,0,1.1542501209546377e-05,4.928425150201891e-05,3.666376175858287e-06,144.0
0.47456976948888,0.0,015,double,low,no,car,2,1.0,0,4.266401627281693e-06,-2.297590294024016e-05,1.291444543729834e-06,144.0
1.58953074425608,1.0,014,left,low,yes,face,2,0.0,0,1.279143013388853e-06,4.7133342042073265e-05,-1.8914189303851654e-06,144.0
0.431517817591157,1.0,013,double,low,no,car,2,1.0,0,2.050010948092648e-06,1.6610022326464945e-05,2.432618024379151e-06,144.0
0.480453633125762,1.0,012,right,low,yes,face,2,0.0,0,7.706098434101768e-06,1.9787937872530525e-05,1.1645169094763555e-06,144.0
0.592398494799454,1.0,011,double,low,no,car,2,1.0,0,3.5049685329038707e-06,1.550142107752862e-05,2.7118429895382136e-06,144.0
0.32200594371011,1.0,010,double,high,no,car,2,1.0,0,5.293369403419443e-06,4.661843573006864e-05,9.218731681957254e-06,144.0
0.422708372285342,1.0,009,double,high,no,car,2,1.0,0,6.746158306217723e-06,-3.0020108642549927e-05,7.400511372010976e-07,144.0
0.503213250610315,1.0,008,double,high,no,car,2,1.0,0,1.1341752393877623e-05,4.0999702232694655e-06,4.346250874432153e-06,144.0
0.834048831458858,1.0,007,double,low,no,car,2,1.0,0,1.208733284061641e-05,-5.427521935646545e-05,1.8806038680116426e-06,144.0
0.590187162924849,1.0,006,double,low,no,face,2,0.0,0,3.1240396274883763e-06,-1.0656986263952115e-05,1.2182077267672822e-06,144.0
0.471903976314934,1.0,001,double,high,no,face,2,0.0,0,5.193207777768816e-06,5.137914386724153e-05,2.4784168796430494e-06,144.0
0.327997260756092,1.0,017,double,high,no,face,2,0.0,1,4.661035973042536e-06,-9.996776175231806e-06,5.08021205247516e-06,145.0
0.292405122686432,1.0,016,double,high,no,car,2,1.0,1,1.6441303360378287e-06,9.532292735264887e-05,4.8994371626213994e-06,145.0
0.533948124735616,1.0,015,double,low,no,car,2,1.0,1,1.0634534038276968e-06,3.434015106906594e-09,1.9423687445194077e-06,145.0
0.54769924989705,1.0,014,double,low,no,face,2,0.0,1,3.935656665292346e-06,-1.7465282071618609e-06,5.045509257270534e-06,145.0
0.382017095781521,0.0,013,left,low,yes,car,2,1.0,1,1.6563416696075987e-06,3.204311955300254e-06,1.6195865398263693e-06,145.0
0.322098731477126,0.0,012,left,low,yes,car,2,1.0,1,8.816882365211861e-06,1.601141211287698e-05,2.5200161834772416e-06,145.0
0.496287323978322,1.0,011,left,low,yes,face,2,0.0,1,3.6077728945964477e-06,-3.6046445195158665e-05,-1.725084602474557e-06,145.0
0.348798134038248,1.0,010,left,high,yes,car,2,1.0,1,5.833036090900768e-06,-6.321204100101515e-05,2.98180443102086e-06,145.0
0.368081393504326,1.0,009,double,high,no,car,2,1.0,1,8.013147339838919e-06,3.989202660423338e-05,1.777276196470083e-06,145.0
0.35643852155863,1.0,008,right,low,yes,face,2,0.0,1,2.6474536948369626e-06,1.5001424839666025e-06,3.129693493262648e-06,145.0
0.767883695167257,1.0,007,double,high,no,face,2,0.0,1,1.03816425296348e-05,-4.6693125348821975e-05,8.914510761573711e-07,145.0
0.422743564784469,1.0,005,double,low,no,car,2,1.0,1,4.415625724313012e-06,-1.6701730488803532e-05,2.8898017915807187e-06,145.0
0.652358479992017,1.0,003,double,low,no,car,2,1.0,1,5.981476975087448e-06,3.959137541084554e-05,2.957358637846515e-06,145.0
0.435903443900315,1.0,001,double,low,no,car,2,1.0,1,9.994201423741511e-06,4.50922648705043e-05,5.110699367669346e-06,145.0
0.23096441362577,1.0,017,right,high,yes,face,2,0.0,2,5.19416957552137e-06,-4.8985059807534196e-05,-1.6093570196137447e-06,146.0
0.303409863473462,1.0,016,double,high,no,face,2,0.0,2,5.576864991790827e-06,9.256803017025002e-05,4.864234944618763e-06,146.0
0.239889395306818,1.0,015,double,high,no,car,2,1.0,2,1.8804034161739248e-06,-1.5432960465408036e-05,2.4417404156326197e-06,146.0
0.509152040702247,1.0,014,right,high,yes,car,2,1.0,2,2.877372227374664e-06,-1.9778560408142078e-05,-6.959030201181804e-07,146.0
0.280682604733556,1.0,013,right,low,yes,car,2,1.0,2,3.7162324858210008e-06,3.611613275896784e-05,3.129896795492017e-06,146.0
0.233388124582234,1.0,012,double,high,no,face,2,0.0,2,4.868821013437209e-06,4.701167398732392e-05,3.7118688142769837e-06,146.0
0.677752199333554,0.0,011,double,low,no,car,2,1.0,2,4.497059200896237e-06,-1.5191183357187005e-05,-1.4696255735847564e-06,146.0
0.261802917120235,1.0,010,right,high,yes,car,2,1.0,2,7.104068102183105e-06,4.938867354255627e-05,1.8665539036147924e-06,146.0
0.278560682198076,1.0,009,right,high,yes,car,2,1.0,2,7.798175727810161e-07,3.448424846663253e-05,-3.580879491805242e-06,146.0
0.436002764068689,1.0,008,double,high,no,car,2,1.0,2,9.463657982084466e-06,4.159875427911592e-05,6.018541968906288e-06,146.0
0.477839690254768,1.0,007,right,high,yes,car,2,1.0,2,9.412246341557829e-06,-4.715213420820674e-05,3.7508580795744845e-06,146.0
0.390634069033695,1.0,006,left,high,yes,car,2,1.0,2,5.403598077856059e-06,5.9596189905734076e-06,1.2939288873858547e-06,146.0
0.417967553512426,1.0,005,left,high,yes,face,2,0.0,2,1.857943514504251e-06,1.9600218691193232e-05,4.65096034093391e-06,146.0
0.23696221625778,1.0,003,right,low,yes,car,2,1.0,2,2.6642751422404247e-06,4.690611829850853e-05,3.8752153076181e-06,146.0
0.284763860050589,1.0,017,double,low,no,car,2,1.0,3,6.895036832546763e-06,-1.0662232853244892e-05,2.5680756305361498e-06,147.0
0.37170158295794,1.0,016,double,high,no,face,2,0.0,3,7.206779364435935e-06,-2.68890154553732e-05,3.6226653485504225e-06,147.0
0.313284946954809,1.0,015,double,high,no,car,2,1.0,3,4.252357012692099e-06,2.894747239256499e-05,4.619669619222656e-06,147.0
0.351729154485838,1.0,014,double,low,no,face,2,0.0,3,2.1189609749133214e-06,1.0674985583401648e-05,8.30162005341988e-07,147.0
0.362928960389581,1.0,013,double,low,no,face,2,0.0,3,6.1542182159257655e-06,1.9074738823914944e-05,2.8360128650491787e-06,147.0
0.372859135140061,1.0,012,double,low,no,car,2,1.0,3,1.0801362828826072e-06,-2.8352483129522204e-06,3.2652243524203104e-06,147.0
0.276430059399786,1.0,010,left,high,yes,car,2,1.0,3,3.7027214759330506e-06,3.7373886102954056e-05,8.095363682535318e-06,147.0
0.259477518930908,1.0,008,left,low,yes,face,2,0.0,3,1.2790994981549042e-05,9.169140633024587e-05,3.0301584577131422e-06,147.0
0.527666425961797,1.0,007,right,high,yes,face,2,0.0,3,1.1330655639272814e-05,2.7871863531290207e-05,7.696824224065725e-06,147.0
0.380341599674466,1.0,006,left,low,yes,car,2,1.0,3,3.7628667144192137e-07,7.891621843323568e-06,-2.0625707186467688e-06,147.0
