response_time,response_corr,subject,attention,coherency,prioritization,category,cpp_peak,cpp_slope,cpp_amplitude
1.10670320883219,1,sub-017,double,low,no,face,3.764582507247795e-06,3.896072411278926e-05,3.09731375475227e-06
0.342617001399049,1,sub-017,double,high,no,car,9.307525041140084e-06,-1.9039033146800824e-05,8.441858395613333e-06
0.81250204074604,1,sub-017,double,high,no,face,100.0,6.571737502951877e-06,4.850663173132349e-06
0.359949636462261,1,sub-017,right,high,yes,face,9.80781259401751e-06,5.0328131430583745e-05,4.577274582945098e-06
1.1825920646952,1,sub-017,left,low,yes,car,6.750500944250246e-06,1.725085287802328e-06,4.99316575014785e-06
0.424700210860465,1,sub-017,left,high,yes,face,9.831650919688077e-06,5.982804405347591e-05,7.296548162383444e-06
0.451099292797153,1,sub-017,right,high,yes,face,9.579825054982841e-06,5.396766007723418e-05,6.8373946023145e-06
0.531494234804995,1,sub-017,double,high,no,face,7.462553237383683e-06,1.9770556397958755e-05,7.135054274201212e-06
0.325285286889994,1,sub-017,right,high,yes,face,1.3223071438180247e-05,7.152908266670005e-06,9.7400699371698e-06
0.394108432272333,1,sub-017,double,low,no,face,2.3822365371894356e-06,0.00012727132227058108,5.304666436464109e-07
0.382484679823392,1,sub-017,double,high,no,car,1.3522553821697976e-07,-1.916492596892264e-05,-1.7179060185762898e-06
0.385525441131904,1,sub-017,right,high,yes,car,9.312581597755507e-06,2.8314101820046664e-05,8.076109352409957e-06
0.73250487203768,1,sub-017,double,high,no,car,6.07225857279974e-06,-1.7036723450754104e-05,4.255676614851914e-06
1.22025996330194,1,sub-017,double,high,no,car,7.522264617452155e-06,3.458881195868906e-05,5.792090228696851e-06
0.269042895975872,1,sub-017,right,low,yes,car,5.231582129156984e-06,-1.6760969548725717e-05,2.337290339078823e-06
0.316345275074127,1,sub-017,double,high,no,car,4.564256793849099e-06,7.508687356754407e-06,2.6828576925385758e-06
0.797164758201689,1,sub-017,double,low,no,car,2.5181177507151553e-06,-7.435488961253399e-06,-3.4265620737315907e-06
0.369375395428506,1,sub-017,right,high,yes,car,5.129466563580081e-06,2.0007040161461955e-05,4.169298205375164e-06
0.381219358736416,1,sub-017,double,low,no,car,100.0,-4.6173851732681874e-05,-1.8591339131120258e-06
0.464252245685202,1,sub-017,left,low,yes,car,100.0,1.987135300670131e-05,1.399023126302642e-06
0.36311949742958,1,sub-017,right,high,yes,car,6.211430042341681e-06,7.881709838048364e-05,5.380286324319357e-06
0.289448140567401,1,sub-017,right,low,yes,car,1.1060088447463406e-05,4.809402533551918e-06,6.748541608403372e-06
0.252993925678311,1,sub-017,double,high,no,car,4.781073541238878e-06,-3.7089840378996654e-05,8.513541541529586e-07
0.350510061878595,1,sub-017,left,high,yes,car,100.0,2.4282610647160996e-05,1.1052541173365096e-06
0.309091080081998,1,sub-017,left,low,yes,car,8.66118068521732e-06,6.33922274327848e-06,5.101250422159488e-06
0.261169982884894,1,sub-017,left,low,yes,car,1.0450125593937434e-05,-9.506291700347428e-06,-1.1999948969554422e-06
0.271483439588337,0,sub-017,right,low,yes,face,-6.306614793333427e-07,-1.2215334428778923e-05,-4.5605346709994887e-07
0.28370604882366,1,sub-017,double,low,no,car,8.308611046307964e-06,1.019239755355702e-06,8.560180790594727e-06
0.296489586064126,1,sub-017,right,high,yes,car,2.7264090015812753e-06,-1.4772674797566502e-05,-1.6405232920888309e-06
